Leg Angle Analysis Report
==================================================

Video Information:
Resolution: 1280x720
Frame Rate: 31.0 FPS
Total Frames: 127
File Size: 4.94 MB

Knee Angle Data (per frame):
 Time(s) | R-Knee Angle |  R-Knee Vel. | L-Knee Angle |  L-Knee Vel.
   0.903 |       142.10 |        70.46 |       142.43 |        -0.51
   0.935 |       144.38 |      -115.27 |       142.42 |       -90.78
   0.968 |       140.66 |       -16.92 |       139.49 |       -23.77
   1.000 |       140.11 |        73.70 |       138.72 |        71.74
   1.032 |       142.49 |      -126.82 |       141.04 |        24.38
   1.065 |       138.40 |       -12.37 |       141.82 |       -14.44
   1.097 |       138.00 |        80.60 |       141.36 |        20.48
   1.129 |       140.60 |       -44.34 |       142.02 |        51.40
   1.161 |       139.17 |      -299.70 |       143.68 |      -116.83
   1.194 |       129.50 |        17.47 |       139.91 |       -38.13
   1.226 |       130.06 |       165.83 |       138.68 |        78.88
   1.258 |       135.41 |      -142.67 |       141.22 |      -324.63
   1.290 |       130.81 |       -72.87 |       130.75 |      -368.70
   1.323 |       128.46 |       227.80 |       118.86 |       232.75
   1.355 |       135.81 |        -2.27 |       126.36 |       284.14
   1.387 |       135.74 |        11.90 |       135.53 |       161.69
   1.419 |       136.12 |       365.87 |       140.75 |       460.88
   1.452 |       147.92 |        42.70 |       155.61 |       223.44
   1.484 |       149.30 |        61.27 |       162.82 |        15.08
   1.516 |       151.28 |      -254.23 |       163.31 |      -482.39
   1.548 |       143.08 |      -240.77 |       147.75 |       207.57
   1.581 |       135.31 |       204.27 |       154.44 |       344.86
   1.613 |       141.90 |       240.02 |       165.57 |        80.74
   1.645 |       149.64 |        62.07 |       168.17 |      -555.56
   1.677 |       151.64 |        66.67 |       150.25 |       153.17
   1.710 |       153.79 |        63.08 |       155.19 |      -151.27
   1.742 |       155.83 |      -210.27 |       150.31 |       -48.77
   1.774 |       149.05 |       233.64 |       148.74 |      -360.79
   1.806 |       156.58 |       -89.40 |       137.10 |      -201.44
   1.839 |       153.70 |        24.39 |       130.60 |      -232.04
   1.871 |       154.49 |       -16.43 |       123.12 |      -725.73
   1.903 |       153.96 |      -198.87 |        99.71 |       -57.37
   1.935 |       147.54 |       180.20 |        97.85 |      -607.30
   1.968 |       153.35 |       224.18 |        78.26 |     -1065.65
   2.000 |       160.59 |       109.07 |        43.89 |       233.59
   2.032 |       164.10 |      -198.27 |        51.42 |      -176.17
   2.065 |       157.71 |        32.98 |        45.74 |        73.83
   2.097 |       158.77 |      -245.89 |        48.12 |       510.20
   2.129 |       150.84 |      -132.26 |        64.58 |       541.31
   2.161 |       146.57 |      -215.28 |        82.04 |       189.21
   2.194 |       139.63 |       -27.50 |        88.15 |       325.02
   2.226 |       138.74 |       134.52 |        98.63 |       775.91
   2.258 |       143.08 |       -40.24 |       123.66 |       332.87
   2.290 |       141.78 |      -502.05 |       134.40 |      -112.95
   2.323 |       125.59 |      -717.16 |       130.75 |      -797.79
   2.355 |       102.45 |       113.92 |       105.02 |       237.49
   2.387 |       106.13 |       257.77 |       112.68 |       535.08
   2.419 |       114.44 |       -54.09 |       129.94 |      -164.97
   2.452 |       112.70 |      -373.37 |       124.62 |        21.96
   2.484 |       100.66 |        82.36 |       125.33 |       307.85
   2.516 |       103.31 |      -222.68 |       135.26 |      -382.44
   2.548 |        96.13 |        40.71 |       122.92 |       235.46
   2.581 |        97.44 |        47.56 |       130.52 |      -510.03
   2.613 |        98.98 |      -173.76 |       114.06 |        71.44
   2.645 |        93.37 |        65.81 |       116.37 |      -567.18
   2.677 |        95.49 |        20.76 |        98.07 |      -660.25
   2.710 |        96.16 |       -27.01 |        76.77 |      -388.82
   2.742 |        95.29 |       447.82 |        64.23 |       196.58
   2.774 |       109.74 |       164.80 |        70.57 |       999.53
   2.806 |       115.05 |       516.19 |       102.82 |       763.60
   2.839 |       131.70 |      -125.23 |       127.45 |       246.17
   2.871 |       127.67 |      -817.84 |       135.39 |       -11.16
   2.903 |       101.28 |        32.40 |       135.03 |      -138.33
   2.935 |       102.33 |      -138.14 |       130.57 |        29.68
   2.968 |        97.87 |       -51.73 |       131.52 |       657.25
   3.000 |        96.20 |      -322.73 |       152.73 |       264.59
   3.032 |        85.79 |      -474.72 |       161.26 |      -224.69
   3.065 |        70.48 |       817.99 |       154.01 |      -151.78
   3.097 |        96.87 |       622.75 |       149.12 |       223.70
   3.129 |       116.96 |      -316.49 |       156.33 |      -167.66
   3.161 |       106.75 |        44.81 |       150.92 |      -389.56
   3.194 |       108.19 |       411.78 |       138.36 |       138.66
   3.226 |       121.47 |      -904.89 |       142.83 |      -229.19
   3.258 |        92.28 |        73.16 |       135.44 |        25.99
   3.290 |        94.64 |       463.55 |       136.28 |       401.00
   3.323 |       109.60 |       516.38 |       149.21 |        46.77
   3.355 |       126.26 |      1068.69 |       150.72 |        93.93
   3.387 |       160.73 |       545.97 |       153.75 |      -113.58
   3.419 |       178.34 |       -46.13 |       150.09 |        97.40
   3.452 |       176.85 |      -534.27 |       153.23 |       -38.49
   3.484 |       159.62 |       106.85 |       151.99 |        53.93
   3.516 |       163.07 |        51.46 |       153.73 |       140.18
   3.548 |       164.73 |      -270.36 |       158.25 |       -46.87
   3.581 |       156.00 |       -65.25 |       156.74 |      -293.22
   3.613 |       153.90 |       322.82 |       147.28 |       276.62
   3.645 |       164.31 |       -78.83 |       156.20 |      -153.63
   3.677 |       161.77 |       183.89 |       151.25 |       136.05
   3.710 |       167.70 |        23.17 |       155.63 |       -34.62
   3.742 |       168.45 |        77.59 |       154.52 |       -23.66
   3.774 |       170.95 |       175.96 |       153.75 |       288.17
   3.806 |       176.63 |       -45.21 |       163.05 |      -358.83
   3.839 |       175.17 |      -111.75 |       151.47 |      -139.00
   3.871 |       171.56 |         4.82 |       146.99 |       251.18
   3.903 |       171.72 |      -138.85 |       155.09 |      -399.94
   3.935 |       167.24 |       -24.63 |       142.19 |       443.37
   3.968 |       166.45 |       115.42 |       156.49 |       -17.76
   4.000 |       170.17 |       -43.52 |       155.92 |      -476.38
   4.032 |       168.77 |        56.68 |       140.55 |      -225.29
