Leg Angle Analysis Report
==================================================

Video Information:
Resolution: 1280x720
Frame Rate: 31.0 FPS
Total Frames: 127
File Size: 4.94 MB

Knee Angle Data (per frame):
 Time(s) | R-Knee Angle |  R-Knee Vel. | L-Knee Angle |  L-Knee Vel.
------------------------------------------------------------
   0.000 |       146.50 |      -107.40 |       135.46 |       -40.63
   0.032 |       143.04 |      -232.69 |       134.15 |        10.47
   0.065 |       135.53 |       -44.38 |       134.49 |        20.34
   0.097 |       134.10 |       -14.77 |       135.15 |        33.75
   0.129 |       133.62 |       -10.56 |       136.24 |       -77.74
   0.161 |       133.28 |       -24.00 |       133.73 |        28.07
   0.194 |       132.51 |       -20.61 |       134.63 |        11.76
   0.226 |       131.84 |        10.04 |       135.01 |        70.55
   0.258 |       132.17 |       -50.16 |       137.29 |        26.92
   0.290 |       130.55 |       -45.07 |       138.16 |        50.58
   0.323 |       129.10 |        44.13 |       139.79 |        16.34
   0.355 |       130.52 |       -22.06 |       140.32 |       -27.28
   0.387 |       129.81 |        -6.67 |       139.44 |       -14.07
   0.419 |       129.59 |       -16.99 |       138.98 |       -18.08
   0.452 |       129.04 |        87.05 |       138.40 |        43.40
   0.484 |       131.85 |        44.99 |       139.80 |         4.90
   0.516 |       133.30 |        62.67 |       139.96 |        -7.32
   0.548 |       135.33 |       -43.88 |       139.72 |       -89.14
   0.581 |       133.91 |        -0.70 |       136.84 |        -1.57
   0.613 |       133.89 |         0.56 |       136.79 |         0.99
   0.645 |       133.91 |        70.87 |       136.83 |        45.49
   0.677 |       136.19 |        55.36 |       138.29 |        20.74
   0.710 |       137.98 |       -16.53 |       138.96 |        27.94
   0.742 |       137.44 |        -2.66 |       139.86 |        17.70
   0.774 |       137.36 |       103.33 |       140.44 |        30.41
   0.806 |       140.69 |       -39.79 |       141.42 |       -16.91
   0.839 |       139.41 |       111.78 |       140.87 |        44.58
   0.871 |       143.01 |       -28.22 |       142.31 |         3.86
