Leg Angle Analysis Report
==================================================

Video Information:
Resolution: 1280x720
Frame Rate: 30.0 FPS
Total Frames: 223
File Size: 8.52 MB

Knee Angle Data (per frame):
 Time(s) | R-Knee Angle |  R-Knee Vel. | L-Knee Angle |  L-Knee Vel.
   2.433 |       159.42 |        21.45 |       156.70 |        -9.67
   2.467 |       160.14 |        -1.45 |       156.38 |        -2.17
   2.500 |       160.09 |       -40.72 |       156.30 |       -22.17
   2.533 |       158.73 |       -77.91 |       155.56 |       -35.97
   2.567 |       156.14 |       -15.68 |       154.37 |       -36.91
   2.600 |       155.61 |         1.14 |       153.14 |       -41.75
   2.633 |       155.65 |       -21.63 |       151.74 |       -21.45
   2.667 |       154.93 |       -43.97 |       151.03 |       -18.11
   2.700 |       153.46 |       -46.43 |       150.42 |       -20.43
   2.733 |       151.92 |       -15.02 |       149.74 |       -19.24
   2.767 |       151.42 |        -5.51 |       149.10 |       -13.88
   2.800 |       151.23 |       -27.13 |       148.64 |       -20.46
   2.833 |       150.33 |         7.24 |       147.96 |       -19.90
   2.867 |       150.57 |         9.37 |       147.29 |        -1.59
   2.900 |       150.88 |         0.19 |       147.24 |        -1.81
   2.933 |       150.89 |       -27.37 |       147.18 |       -15.02
   2.967 |       149.98 |         8.48 |       146.68 |        -8.11
   3.000 |       150.26 |         9.38 |       146.41 |        14.41
   3.033 |       150.57 |        72.47 |       146.89 |        68.37
   3.067 |       152.99 |       109.77 |       149.17 |       113.87
   3.100 |       156.65 |       -20.25 |       152.97 |        20.02
   3.133 |       155.97 |       -40.49 |       153.63 |       -14.03
   3.167 |       154.62 |        -8.40 |       153.17 |        19.63
   3.200 |       154.34 |        48.63 |       153.82 |       -17.07
   3.233 |       155.96 |        54.59 |       153.25 |        30.45
   3.267 |       157.78 |       -14.27 |       154.27 |       -20.63
   3.300 |       157.31 |         3.82 |       153.58 |        56.68
   3.333 |       157.43 |       121.30 |       155.47 |        53.24
   3.367 |       161.48 |       -36.88 |       157.24 |       -24.47
   3.400 |       160.25 |       -49.12 |       156.43 |       -80.86
   3.433 |       158.61 |       -21.65 |       153.73 |      -143.05
   3.467 |       157.89 |       -19.54 |       148.96 |       -32.25
   3.500 |       157.24 |         1.77 |       147.89 |         9.93
   3.533 |       157.30 |        72.98 |       148.22 |        71.90
   3.567 |       159.73 |       -87.22 |       150.61 |       -25.67
   3.600 |       156.82 |        35.02 |       149.76 |       -68.09
   3.633 |       157.99 |       -14.74 |       147.49 |      -249.80
   3.667 |       157.50 |       -58.90 |       139.16 |       -53.11
   3.700 |       155.53 |      -197.79 |       137.39 |      -869.80
   3.733 |       148.94 |      -105.35 |       108.40 |      -268.88
   3.767 |       145.43 |       -16.42 |        99.44 |       145.06
   3.800 |       144.88 |        78.28 |       104.27 |      -303.31
   3.833 |       147.49 |      -274.38 |        94.16 |      -471.46
   3.867 |       138.35 |      -137.59 |        78.45 |        66.33
   3.900 |       133.76 |       -55.65 |        80.66 |      -285.08
   3.933 |       131.90 |       -97.50 |        71.15 |       -60.10
   3.967 |       128.65 |      -114.98 |        69.15 |      -254.18
   4.000 |       124.82 |        68.99 |        60.68 |        47.89
   4.033 |       127.12 |       120.72 |        62.27 |       -45.65
   4.067 |       131.15 |        61.84 |        60.75 |        52.60
   4.100 |       133.21 |       -53.79 |        62.51 |        17.79
   4.133 |       131.41 |       -21.60 |        63.10 |        49.33
   4.167 |       130.69 |       -20.08 |        64.74 |       -45.07
   4.200 |       130.02 |        -7.92 |        63.24 |       120.49
   4.233 |       129.76 |       -45.14 |        67.26 |        71.96
   4.267 |       128.26 |      -155.47 |        69.66 |      -202.33
   4.300 |       123.07 |        48.30 |        62.91 |       168.76
   4.333 |       124.68 |       -19.14 |        68.54 |        66.68
   4.367 |       124.05 |      -124.14 |        70.76 |       105.11
   4.400 |       119.91 |      -257.38 |        74.26 |        -6.13
   4.433 |       111.33 |         0.46 |        74.06 |      -137.65
   4.467 |       111.34 |        92.03 |        69.47 |        -0.14
   4.500 |       114.41 |         2.81 |        69.47 |      -138.18
   4.533 |       114.51 |       -32.61 |        64.86 |      -167.65
   4.567 |       113.42 |       -54.25 |        59.27 |        -1.44
   4.600 |       111.61 |        -2.23 |        59.22 |         8.97
   4.633 |       111.54 |       155.80 |        59.52 |       194.04
   4.667 |       116.73 |       159.77 |        65.99 |       194.47
   4.700 |       122.05 |       -15.07 |        72.47 |       151.19
   4.733 |       121.55 |        -3.49 |        77.51 |       183.67
   4.767 |       121.44 |      -136.97 |        83.63 |       399.14
   4.800 |       116.87 |       -73.85 |        96.94 |       180.93
   4.833 |       114.41 |       -72.03 |       102.97 |         3.69
   4.867 |       112.01 |        18.97 |       103.09 |       140.28
   4.900 |       112.64 |         7.21 |       107.77 |       104.71
   4.933 |       112.88 |        31.36 |       111.26 |       -38.67
   4.967 |       113.93 |        21.09 |       109.97 |       -62.68
   5.000 |       114.63 |       -34.36 |       107.88 |      -205.84
   5.033 |       113.48 |       -19.64 |       101.02 |       255.60
   5.067 |       112.83 |       363.56 |       109.54 |      -430.34
   5.100 |       124.95 |      -389.20 |        95.20 |      -398.50
   5.133 |       111.97 |      -330.64 |        81.91 |      -179.48
   5.167 |       100.95 |       -13.66 |        75.93 |       -59.28
   5.200 |       100.50 |      -300.97 |        73.95 |       112.36
   5.233 |        90.46 |       -33.93 |        77.70 |       495.97
   5.267 |        89.33 |       -26.50 |        94.23 |       -85.80
   5.300 |        88.45 |       499.11 |        91.37 |      1017.70
   5.333 |       105.09 |       109.88 |       125.30 |      -137.35
   5.367 |       108.75 |       253.08 |       120.72 |       166.39
   5.400 |       117.19 |       220.70 |       126.26 |       329.59
   5.433 |       124.54 |      -530.03 |       137.25 |      -527.27
   5.467 |       106.88 |       529.85 |       119.67 |       -84.40
   5.500 |       124.54 |       319.97 |       116.86 |       619.47
   5.533 |       135.20 |       362.50 |       137.51 |       117.64
   5.567 |       147.29 |       233.15 |       141.43 |      -275.94
   5.600 |       155.06 |        70.14 |       132.23 |       -41.05
   5.633 |       157.40 |        17.35 |       130.86 |        70.85
   5.667 |       157.97 |      -102.75 |       133.23 |         0.30
   5.700 |       154.55 |     -1031.91 |       133.24 |       498.72
   5.733 |       120.15 |       882.41 |       149.86 |       202.45
   5.767 |       149.57 |      -845.82 |       156.61 |       -40.60
   5.800 |       121.37 |       560.86 |       155.26 |       -17.54
   5.833 |       140.07 |        94.93 |       154.67 |       -27.77
   5.867 |       143.23 |       496.05 |       153.74 |        18.27
   5.900 |       159.77 |        25.74 |       154.35 |      -364.60
   5.933 |       160.62 |        42.89 |       142.20 |        15.01
   5.967 |       162.05 |        88.75 |       142.70 |        81.64
   6.000 |       165.01 |        66.94 |       145.42 |      -163.03
   6.033 |       167.24 |        25.02 |       139.99 |       131.92
   6.067 |       168.08 |      -117.16 |       144.39 |      -106.09
   6.100 |       164.17 |       112.34 |       140.85 |       156.44
   6.133 |       167.92 |        22.54 |       146.06 |        49.31
   6.167 |       168.67 |      -122.07 |       147.71 |       -70.38
   6.200 |       164.60 |         6.87 |       145.36 |       -14.63
   6.233 |       164.83 |       -38.26 |       144.87 |        95.75
   6.267 |       163.55 |      -106.46 |       148.06 |       227.58
   6.300 |       160.00 |       -70.40 |       155.65 |        87.08
   6.333 |       157.66 |      -238.74 |       158.55 |       145.49
   6.367 |       149.70 |      -181.03 |       163.40 |       -19.11
   6.400 |       143.67 |       -26.50 |       162.77 |        42.27
   6.433 |       142.78 |      -170.78 |       164.18 |        44.66
   6.467 |       137.09 |       142.51 |       165.66 |       -12.00
   6.500 |       141.84 |      -172.31 |       165.26 |       216.09
   6.533 |       136.10 |       181.67 |       172.47 |         8.19
   6.567 |       142.15 |        -2.29 |       172.74 |       -11.02
   6.600 |       142.08 |       -54.26 |       172.37 |       -31.27
   6.633 |       140.27 |       -63.05 |       171.33 |         3.48
   6.667 |       138.16 |      -217.22 |       171.45 |      -299.65
   6.700 |       130.92 |      -114.80 |       161.46 |       206.07
   6.733 |       127.10 |       565.58 |       168.33 |       114.65
   6.767 |       145.95 |       421.61 |       172.15 |        58.85
   6.800 |       160.00 |       104.65 |       174.11 |         9.96
   6.833 |       163.49 |         3.77 |       174.44 |       -86.86
   6.867 |       163.62 |      -162.27 |       171.55 |       -67.56
   6.900 |       158.21 |      -122.11 |       169.30 |      -149.90
   6.933 |       154.14 |       -25.55 |       164.30 |        26.94
   6.967 |       153.29 |      -231.74 |       165.20 |       -55.08
   7.000 |       145.56 |       -33.90 |       163.36 |       -53.92
   7.033 |       144.43 |      -218.56 |       161.56 |      -135.81
   7.067 |       137.15 |       -67.41 |       157.04 |        -1.79
   7.100 |       134.90 |        12.69 |       156.98 |        30.46
   7.133 |       135.32 |      -122.99 |       157.99 |       -41.78
   7.167 |       131.22 |      -109.74 |       156.60 |      -107.03
