Leg Angle Analysis Report
==================================================

Video Information:
Resolution: 1280x720
Frame Rate: 30.0 FPS
Total Frames: 223
File Size: 8.52 MB

Knee Angle Data (per frame):
 Time(s) | R-Knee Angle |  R-Knee Vel. | L-Knee Angle |  L-Knee Vel.
------------------------------------------------------------
   0.000 |       146.73 |        69.28 |       146.69 |       269.32
   0.033 |       149.04 |        56.98 |       155.67 |        85.68
   0.067 |       150.94 |        35.02 |       158.53 |       -78.71
   0.100 |       152.11 |       -30.80 |       155.90 |       -22.99
   0.133 |       151.08 |       135.76 |       155.14 |        72.77
   0.167 |       155.61 |         5.68 |       157.56 |         2.85
   0.200 |       155.80 |       -47.96 |       157.66 |        -5.97
   0.233 |       154.20 |       -79.50 |       157.46 |       -41.72
   0.267 |       151.55 |        17.62 |       156.07 |       -53.72
   0.300 |       152.13 |       -60.74 |       154.28 |        -5.48
   0.333 |       150.11 |        -0.46 |       154.09 |       -60.30
   0.367 |       150.09 |        65.43 |       152.08 |       -35.67
   0.400 |       152.28 |        64.78 |       150.90 |         9.26
   0.433 |       154.43 |       -34.61 |       151.20 |        13.65
   0.467 |       153.28 |        43.50 |       151.66 |       -18.48
   0.500 |       154.73 |        16.96 |       151.04 |        18.25
   0.533 |       155.30 |       -12.13 |       151.65 |        -8.57
   0.567 |       154.89 |       -22.92 |       151.37 |       -76.62
   0.600 |       154.13 |        41.64 |       148.81 |         9.27
   0.633 |       155.52 |         2.74 |       149.12 |        38.07
   0.667 |       155.61 |        49.57 |       150.39 |        22.07
   0.700 |       157.26 |        33.48 |       151.13 |        12.92
   0.733 |       158.38 |       -29.24 |       151.56 |       -25.41
   0.767 |       157.40 |        -6.79 |       150.71 |         5.57
   0.800 |       157.17 |       -34.39 |       150.89 |       105.51
   0.833 |       156.03 |        17.49 |       154.41 |        -4.12
   0.867 |       156.61 |       -30.95 |       154.27 |         2.95
   0.900 |       155.58 |       -12.35 |       154.37 |       -30.77
   0.933 |       155.17 |        32.72 |       153.35 |       -18.58
   0.967 |       156.26 |         6.00 |       152.73 |       -19.97
   1.000 |       156.46 |        -5.54 |       152.06 |       -19.16
   1.033 |       156.27 |         3.75 |       151.42 |        -0.57
   1.067 |       156.40 |         3.15 |       151.40 |       -14.72
   1.100 |       156.50 |        -0.09 |       150.91 |        -8.48
   1.133 |       156.50 |       -79.79 |       150.63 |       -36.30
   1.167 |       153.84 |        -1.78 |       149.42 |       -12.83
   1.200 |       153.78 |        -9.03 |       148.99 |        -2.93
   1.233 |       153.48 |       -11.08 |       148.89 |        20.50
   1.267 |       153.11 |       -20.28 |       149.58 |        17.04
   1.300 |       152.44 |       -17.19 |       150.15 |       -12.24
   1.333 |       151.86 |        18.05 |       149.74 |         7.68
   1.367 |       152.46 |        41.43 |       149.99 |        16.05
   1.400 |       153.85 |        54.00 |       150.53 |        15.98
   1.433 |       155.65 |        -4.23 |       151.06 |         5.55
   1.467 |       155.50 |         5.81 |       151.25 |         4.69
   1.500 |       155.70 |       -24.93 |       151.40 |       -14.57
   1.533 |       154.87 |        29.62 |       150.92 |         5.91
   1.567 |       155.85 |        12.33 |       151.11 |        20.72
   1.600 |       156.27 |        31.57 |       151.80 |        63.11
   1.633 |       157.32 |        -6.51 |       153.91 |        -3.21
   1.667 |       157.10 |         5.54 |       153.80 |       -10.10
   1.700 |       157.29 |        33.47 |       153.47 |         3.51
   1.733 |       158.40 |         0.05 |       153.58 |         5.68
   1.767 |       158.40 |       -21.86 |       153.77 |        -1.36
   1.800 |       157.67 |       -31.92 |       153.73 |        -0.52
   1.833 |       156.61 |        -3.14 |       153.71 |       -18.10
   1.867 |       156.51 |        -1.17 |       153.11 |       -18.08
   1.900 |       156.47 |        -1.45 |       152.50 |       -11.41
   1.933 |       156.42 |        23.45 |       152.12 |         5.39
   1.967 |       157.20 |        27.94 |       152.30 |        20.54
   2.000 |       158.13 |        21.76 |       152.99 |        18.67
   2.033 |       158.86 |       -12.27 |       153.61 |        -3.44
   2.067 |       158.45 |       -13.33 |       153.49 |       -41.71
   2.100 |       158.00 |       -17.77 |       152.10 |        -0.51
   2.133 |       157.41 |       -37.76 |       152.09 |       -13.21
   2.167 |       156.15 |         6.09 |       151.65 |        12.71
   2.200 |       156.35 |         8.80 |       152.07 |        -0.97
   2.233 |       156.65 |        43.96 |       152.04 |        -2.39
   2.267 |       158.11 |        -8.01 |       151.96 |        11.89
   2.300 |       157.85 |         2.61 |       152.35 |        -5.08
   2.333 |       157.93 |        37.21 |       152.19 |        52.45
   2.367 |       159.17 |         4.33 |       153.93 |        31.99
   2.400 |       159.32 |         3.15 |       155.00 |        50.94
